machine	interior	overflow	alphabet	blocker
1RB1LA_1LC1RD_1LA1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA1LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LA1RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LC1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1LC1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA0LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA0RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA0RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA0RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA1LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RA1RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB0LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB0RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB0RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB0RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1LC_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1RB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RB1RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RC1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RC1RA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1LC1RD_1RC1RD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1RC1LB_0LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_1RC1LB_1LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1RC1RD_0LC1LD_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_1RC1RD_1LC0LB_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LB_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB1LB_1LC0RD_0LB1LA_0LA1RA	-	no-anchor	-	no anchor
1RB1LB_1LC0RD_1LA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LB_1LC0RD_1LA1LB_0LC1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LB_1LC1LA_0LB1RD_0RB0RD	AFFINE	AFFINE	Ip	no interior chain
1RB1LB_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LB_1LC1RD_0LB1RA_1LB0RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB1LB_1RC0LA_1LD1RB_0RB0LD	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LB_1RC0LD_0LA1RB_0RB1LD	AFFINE	EXP2	Jp	no exit chain
1RB1LB_1RC0LD_0LA1RB_0RC1LD	AFFINE	EXP2	Jp	no exit chain
1RB1LB_1RC0LD_1LA1RB_0RB1LD	AFFINE	EXP2	Jp	no exit chain
1RB1LB_1RC0LD_1LA1RB_0RC1LD	AFFINE	EXP2	Jp	no boot chain
1RB1LB_1RC1LB_0LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
1RB1LB_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LC_0LA0LD_1LD1RC_0RC1LB	-	no-anchor	-	no overflow phase at K=6
1RB1LC_0LA0RB_0LD1LD_1RA0RA	EXP4	EXP4	Dp	no interior chain
1RB1LC_0LA0RB_0RD0LC_1RD1LA	QUAD	QUAD	Kp	no interior chain
1RB1LC_0LA0RB_0RD1LA_0LC1RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB1LC_0LA0RB_1RD1LA_0LA1RD	QUAD	QUAD	Alph_00_10_1	no interior chain
1RB1LC_0LA0RB_1RD1LA_0LC1RD	QUAD	QUAD	Bp	no interior chain
1RB1LC_0LA0RC_1LA0RD_0LA1RD	AFFINE	EXP2	Jp	no inner family at pow2 j
1RB1LC_0LA1RB_1RD1LA_0LA0RD	QUAD	QUAD	Alph_00_10_1	no interior chain
1RB1LC_0LA1RB_1RD1LA_0LC0RD	QUAD	QUAD	Bp	no interior chain
1RB1LC_0LA1RC_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_0LA1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0LA1RC_1RB0LD_0RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_0LA1RC_1RB0LD_0RC1LD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0LA1RD_1LA0LC_0RD0RB	AFFINE	AFFINE	Dp	no interior chain
1RB1LC_0LB1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0LC0RB_0RD1LA_0LA1RD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB1LC_0LC0RB_1LA0RD_1LC1LD	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA0RD_1LC1RC	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1LD_0RA---	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1LD_0RD1LC	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1LD_1LA---	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1LD_1RC0LD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_0LC0RB_1LA1LD_1RC0RA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1LD_1RC1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_0LA0RA	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_0LA0RC	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_0LA0RD	AFFINE	HIGHER	Alph_00_01_1	no boot chain
1RB1LC_0LC0RB_1LA1RD_0LA1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_0RC0RA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_0RC1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_1LD0RA	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_1LD1LA	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_1RC0RA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LA1RD_1RC0RD	AFFINE	EXP2	Alph_00_10_1	no boot chain
1RB1LC_0LC0RB_1LA1RD_1RC1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1LC_0LC0RB_1LD1RC_1LA0RA	AFFINE	AFFINE	Alph_000_001_1	no inner family at pow2 j
1RB1LC_0LC0RB_1RD1LA_0LA1RD	QUAD	QUAD	Bp	no interior chain
1RB1LC_0LC0RB_1RD1LA_0LC1RD	QUAD	QUAD	Bp	no interior chain
1RB1LC_0LC1RB_1RD1LA_0LA0RD	QUAD	QUAD	Bp	no interior chain
1RB1LC_0LC1RB_1RD1LA_0LC0RD	QUAD	QUAD	Alph_00_10_1	no interior chain
1RB1LC_0LC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0LC1RD_1RB1LC_1LA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LC_0RC1LB_1RD0LB_0LA1RC	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0RC1LB_1RD0LB_1LA1RC	AFFINE	EXP2	Jp	no exit chain
1RB1LC_0RC1LD_1LB1RC_0LA0LB	-	no-anchor	-	no overflow phase at K=6
1RB1LC_0RC1LD_1LB1RC_1RA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LC_0RC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_1LA---_0RD0LA_1LA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1LA0RC_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1LA0RD_1RD1LC_0LC1RB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LC_1LA1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_1LA1RC_1RB0LD_0RC1LD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_1LA1RD_1RB1LC_0LC0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1LB1LC_0RD0LA_1LA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1LB1RA_0LC0LD_0RA0RD	EXP3	EXP3	Alph_11_00_1	no interior chain
1RB1LC_1LB1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_1LC1RA_0LC0LD_0RA0RD	EXP3	EXP3	Alph_11_00_1	no interior chain
1RB1LC_1LC1RC_1LA0RD_0LA1RD	AFFINE	EXP2	Jp	no boot chain
1RB1LC_1LC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LC_1RC1LB_1LA0RD_0LA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1RC1LB_1LA0RD_0LC1RD	-	no-anchor	-	no overflow phase at K=6
