machine	quiet_state	s	n	t
0RB---_0RC1RD_0LD0LB_1RC1LD	A	0	2	1024
0RB---_0RC1RD_1LA1LD_1LB0RD	A	3	2	1024
0RB---_0RC1RD_1LB1RC_0LB1LD	A	0	2	256
0RB---_0RC1RD_1LB1RC_1LB1LD	A	0	2	1024
0RB---_0RC1RD_1LB1RC_1LC1LD	A	0	2	64
0RB---_0RC1RD_1LB1RC_1LD0LB	A	0	2	1024
0RB---_0RC1RD_1LB1RC_1RC1LD	A	0	2	64
0RB---_0RC1RD_1LD0LB_1RC1LD	A	0	2	256
0RB---_0RC1RD_1RD0LB_1LC1RD	A	0	2	1024
0RB---_0RC1RD_1RD1LD_1LB0RD	A	0	2	1024
0RB---_0RC1RD_1RD1RC_1LB1LD	A	0	2	256
0RB---_1LA0LC_0LD1RC_1RC1LD	B	3	2	64
0RB---_1LA0LC_0RD1LC_1LC1RD	B	3	2	64
0RB---_1LA0LC_1LD1RC_1RC1LD	B	3	2	64
0RB---_1LA0LC_1RD1LC_1LC1RD	B	3	2	64
0RB---_1LA0RC_0LD1RC_1RC1LD	B	3	2	64
0RB---_1LA0RC_0RD1LC_1LC1RD	B	3	2	64
0RB---_1LA0RC_1LD1RC_1RC1LD	B	3	2	64
0RB---_1LA0RC_1RD1LC_1LC1RD	B	3	2	64
0RB---_1LA1LC_0LD1RC_1RC1LD	B	3	2	64
0RB---_1LA1LC_1LD1RC_0RC0RB	A	2	2	1024
0RB---_1LA1LC_1LD1RC_1RB0RB	A	2	2	64
0RB---_1LA1LC_1LD1RC_1RB1LD	A	2	2	256
0RB---_1LA1LC_1LD1RC_1RC0RB	A	2	2	256
0RB---_1LA1LC_1LD1RC_1RC1LD	B	3	2	64
0RB---_1LA1LC_1RD1LC_1LB1RD	A	2	2	64
0RB---_1LA1LC_1RD1LC_1LC1RD	B	3	2	64
0RB---_1LA1RC_0RD1LC_1LC1RD	B	3	2	64
0RB---_1LA1RC_1LD1RC_1RB1LD	A	2	2	64
0RB---_1LA1RC_1LD1RC_1RC1LD	B	3	2	64
0RB---_1LA1RC_1RD1LC_0LC0LB	A	2	2	1024
0RB---_1LA1RC_1RD1LC_1LB0LB	A	2	2	64
0RB---_1LA1RC_1RD1LC_1LB1RD	A	2	2	256
0RB---_1LA1RC_1RD1LC_1LC0LB	A	2	2	256
0RB---_1LA1RC_1RD1LC_1LC1RD	B	3	2	64
0RB---_1LC---_0LD1RC_1RB0RB	A	0	2	64
0RB---_1LC---_0RD0LB_0LB1RC	A	0	2	256
0RB---_1LC---_0RD0LB_1RB1RC	A	0	3	256
0RB---_1LC---_0RD0LC_0LB1RC	A	0	2	64
0RB---_1LC---_0RD1LC_1RB1RD	A	0	2	64
0RB---_1LC---_1LD1RC_0RC1LD	B	1	2	64
0RB---_1LC---_1LD1RC_1RC1LD	B	1	2	256
0RB---_1LC---_1RD0LB_0LC0RC	A	0	3	256
0RB---_1LC---_1RD1LC_1LC1RD	B	1	2	1024
0RB---_1LC---_1RD1LC_1RB1RD	A	0	2	256
0RB---_1LC0LB_0RD0LB_1LB1RC	A	0	2	256
0RB---_1LC0LB_0RD1LB_1LB1RC	A	0	2	256
0RB---_1LC0LB_1RD0LB_0LB0RC	A	0	3	256
0RB---_1LC0LC_0LD1RD_1RB1LD	A	0	2	64
0RB---_1LC0LC_0RC1RD_1RB1LD	A	0	2	64
0RB---_1LC0LC_0RD1LC_1LB1RD	A	0	2	1024
0RB---_1LC0LC_0RD1RD_1LB1RC	A	0	2	1024
0RB---_1LC0LC_0RD1RD_1LB1RD	A	0	2	64
0RB---_1LC0LC_0RD1RD_1RB1LD	A	0	2	64
