machine	theorem	file	n	t	contexts
1RB0LA_1LC1RD_1LC1LA_1RA0RB	nqh_1RB0LA_1LC1RD_1LC1LA_1RA0RB	theories/Machines/Bulk/Bulk_003.v	2	0	76
1RB0LA_1LC1RD_1LD1LB_1LA0RD	nqh_1RB0LA_1LC1RD_1LD1LB_1LA0RD	theories/Machines/Bulk/Bulk_003.v	2	0	89
1RB0LA_1LC1RD_1LD1LC_1LA0RD	nqh_1RB0LA_1LC1RD_1LD1LC_1LA0RD	theories/Machines/Bulk/Bulk_003.v	2	0	84
1RB0LA_1LC1RD_1RC1LB_1LA0RD	nqh_1RB0LA_1LC1RD_1RC1LB_1LA0RD	theories/Machines/Bulk/Bulk_003.v	2	0	80
1RB0LA_1LC1RD_1RD1LB_1LA0RD	nqh_1RB0LA_1LC1RD_1RD1LB_1LA0RD	theories/Machines/Bulk/Bulk_003.v	2	0	80
1RB0LA_1LC1RD_1RD1LC_1LA0RD	nqh_1RB0LA_1LC1RD_1RD1LC_1LA0RD	theories/Machines/Bulk/Bulk_003.v	2	0	74
1RB0LA_1RC---_1LD0RC_0LA1LD	nqh_1RB0LA_1RCXXX_1LD0RC_0LA1LD	theories/Machines/Bulk/Bulk_003.v	2	0	62
1RB0LA_1RC0LB_1LD0RC_0LA1LB	nqh_1RB0LA_1RC0LB_1LD0RC_0LA1LB	theories/Machines/Bulk/Bulk_003.v	2	0	88
1RB0LA_1RC0LD_1LD0RC_0RA1LB	nqh_1RB0LA_1RC0LD_1LD0RC_0RA1LB	theories/Machines/Bulk/Bulk_003.v	2	0	88
1RB0LA_1RC0RA_1LD0RB_1LB0LC	nqh_1RB0LA_1RC0RA_1LD0RB_1LB0LC	theories/Machines/Bulk/Bulk_003.v	3	0	117
1RB0LA_1RC0RC_1LD0RA_1LB1LD	nqh_1RB0LA_1RC0RC_1LD0RA_1LB1LD	theories/Machines/Bulk/Bulk_003.v	2	0	46
1RB0LA_1RC0RD_1LD0RD_1RA1LA	nqh_1RB0LA_1RC0RD_1LD0RD_1RA1LA	theories/Machines/Bulk/Bulk_003.v	2	0	57
1RB0LA_1RC0RD_1LD1LB_1RA1LA	nqh_1RB0LA_1RC0RD_1LD1LB_1RA1LA	theories/Machines/Bulk/Bulk_003.v	2	0	59
1RB0LA_1RC0RD_1LD1RB_1RA1LA	nqh_1RB0LA_1RC0RD_1LD1RB_1RA1LA	theories/Machines/Bulk/Bulk_003.v	2	0	57
1RB0LA_1RC1LA_1LB0RD_1LA0RC	nqh_1RB0LA_1RC1LA_1LB0RD_1LA0RC	theories/Machines/Bulk/Bulk_003.v	2	0	88
1RB0LA_1RC1LA_1LB1RD_1LC0RD	nqh_1RB0LA_1RC1LA_1LB1RD_1LC0RD	theories/Machines/Bulk/Bulk_003.v	2	0	80
1RB0LA_1RC1LA_1LD0RC_0LA1LB	nqh_1RB0LA_1RC1LA_1LD0RC_0LA1LB	theories/Machines/Bulk/Bulk_004.v	2	0	74
1RB0LA_1RC1LA_1LD0RC_0RB1LB	nqh_1RB0LA_1RC1LA_1LD0RC_0RB1LB	theories/Machines/Bulk/Bulk_004.v	2	0	92
1RB0LA_1RC1LA_1LD0RC_0RB1LD	nqh_1RB0LA_1RC1LA_1LD0RC_0RB1LD	theories/Machines/Bulk/Bulk_004.v	2	0	94
1RB0LA_1RC1LA_1LD0RC_1RB1LB	nqh_1RB0LA_1RC1LA_1LD0RC_1RB1LB	theories/Machines/Bulk/Bulk_004.v	2	0	82
1RB0LA_1RC1LA_1LD0RC_1RB1LD	nqh_1RB0LA_1RC1LA_1LD0RC_1RB1LD	theories/Machines/Bulk/Bulk_004.v	2	0	78
1RB0LA_1RC1LB_0RD0LA_1LA0RD	nqh_1RB0LA_1RC1LB_0RD0LA_1LA0RD	theories/Machines/Bulk/Bulk_004.v	2	0	64
1RB0LA_1RC1LB_1LD0RC_0LA1LB	nqh_1RB0LA_1RC1LB_1LD0RC_0LA1LB	theories/Machines/Bulk/Bulk_004.v	2	0	68
1RB0LA_1RC1LB_1LD0RC_0LA1RB	nqh_1RB0LA_1RC1LB_1LD0RC_0LA1RB	theories/Machines/Bulk/Bulk_004.v	2	0	72
1RB0LA_1RC1LB_1RD1LA_1LB0RD	nqh_1RB0LA_1RC1LB_1RD1LA_1LB0RD	theories/Machines/Bulk/Bulk_004.v	2	0	78
1RB0LA_1RC1LC_1LD0RC_0LA0RB	nqh_1RB0LA_1RC1LC_1LD0RC_0LA0RB	theories/Machines/Bulk/Bulk_004.v	2	0	70
