machine	quiet_state	s	n	t
0RB---_1LA0LC_1RD0LC_1LD1LC	B	3	2	64
0RB---_1LA0LC_1RD0RD_1LD1RC	B	3	2	64
0RB---_1LA0LC_1RD1LC_0LC1LB	A	2	2	64
0RB---_1LA0LC_1RD1LC_0LC1LD	B	3	2	64
0RB---_1LA0LC_1RD1LC_1LC0LB	A	2	2	64
0RB---_1LA0LC_1RD1LC_1LC1LB	A	2	2	64
0RB---_1LA0RC_0LD1LC_1RC1LD	B	3	2	64
0RB---_1LA0RC_0RD1RB_1LC1RD	A	2	2	64
0RB---_1LA0RC_0RD1RC_1LC1RD	B	3	2	64
0RB---_1LA0RC_1LD0LD_1RD1LC	B	3	2	64
0RB---_1LA0RC_1LD0RC_0RD1RC	B	3	2	64
0RB---_1LA0RC_1LD0RC_1RD1RC	B	3	2	64
0RB---_1LA0RC_1LD1RC_0RC1RB	A	2	2	64
0RB---_1LA0RC_1LD1RC_0RC1RD	B	3	2	64
0RB---_1LA0RC_1LD1RC_1RC0RB	A	2	2	64
0RB---_1LA0RC_1LD1RC_1RC1RB	A	2	2	64
0RB---_1LA0RC_1RD0LC_0LD1LC	B	3	2	64
0RB---_1LA0RC_1RD0LC_1LD1LC	B	3	2	64
0RB---_1LA0RC_1RD0RD_1LD1RC	B	3	2	64
0RB---_1LA0RC_1RD1LC_0LC1LD	B	3	2	64
0RB---_1LA1LC_0LD0LB_1RC1LD	A	2	2	64
0RB---_1LA1LC_0LD0LC_1RC1LD	B	3	2	64
0RB---_1LA1LC_0LD1LB_1RC1LD	A	2	2	64
0RB---_1LA1LC_0LD1LC_1RC1LD	B	3	2	64
0RB---_1LA1LC_0RC1RD_1LC0RD	B	3	2	64
0RB---_1LA1LC_0RD1RC_1LC1RD	B	3	2	64
0RB---_1LA1LC_1LD0LD_1RD1LC	B	3	2	64
0RB---_1LA1LC_1LD0RC_0RD1RC	B	3	2	64
0RB---_1LA1LC_1LD0RC_1RD1RC	B	3	2	64
0RB---_1LA1LC_1LD0RD_1RC0LC	B	3	3	64
0RB---_1LA1LC_1LD1RC_0RC0RD	B	3	2	64
0RB---_1LA1LC_1LD1RC_0RC1RD	B	3	2	64
0RB---_1LA1LC_1RC1RD_1LC0RD	B	3	2	64
0RB---_1LA1LC_1RD0LC_0LB1LC	A	2	2	64
0RB---_1LA1LC_1RD0LC_0LD1LC	B	3	2	64
0RB---_1LA1LC_1RD0LC_1LB0LC	A	2	2	64
0RB---_1LA1LC_1RD0LC_1LB0RC	A	2	2	64
0RB---_1LA1LC_1RD0LC_1LB1LC	A	2	2	64
0RB---_1LA1LC_1RD0LC_1LB1RC	A	2	2	64
0RB---_1LA1LC_1RD0LC_1LD1LC	B	3	2	64
0RB---_1LA1RC_0LC1LD_1RC0LD	B	3	2	64
0RB---_1LA1RC_0LD1LC_1RC1LD	B	3	2	64
0RB---_1LA1RC_0RD0RB_1LC1RD	A	2	2	64
0RB---_1LA1RC_0RD0RC_1LC1RD	B	3	2	64
0RB---_1LA1RC_0RD1RB_1LC1RD	A	2	2	64
0RB---_1LA1RC_0RD1RC_1LC1RD	B	3	2	64
0RB---_1LA1RC_1LC1LD_1RC0LD	B	3	2	64
0RB---_1LA1RC_1LD0RC_0RB1RC	A	2	2	64
0RB---_1LA1RC_1LD0RC_0RD1RC	B	3	2	64
0RB---_1LA1RC_1LD0RC_1RB0LC	A	2	2	64
0RB---_1LA1RC_1LD0RC_1RB0RC	A	2	2	64
0RB---_1LA1RC_1LD0RC_1RB1LB	A	7	2	64
0RB---_1LA1RC_1LD0RC_1RB1LC	A	2	2	64
0RB---_1LA1RC_1LD0RC_1RB1RC	A	2	2	64
0RB---_1LA1RC_1LD0RC_1RD1RC	B	3	2	64
0RB---_1LA1RC_1RD0LC_0LD1LC	B	3	2	64
