census_machine	upstream_tnf	upstream_status	cert_family	list	mode	nstates_after	dropped
0RB---_0LC1RB_0RD1LD_1RB1LD	1RB1LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RB_1LA1LD_1LC0RB	1RB1RD_0LC---_0RA1LC_1RA0LC	none		C	reroot	4	0
0RB---_0LC1RB_1LA1LD_1RB0LD	1RB1RD_0LC---_0RA1LC_1LC0RD	none		B	reroot	4	0
0RB---_0LC1RB_1LA1LD_1RB1LD	1RB1RD_0LC---_0RA1LC_1LC1RD	none		B	reroot	4	0
0RB---_0LC1RB_1LD0RB_1LA1LC	1RB0LD_1RC1RA_0LD---_0RA1LD	none		C	reroot	4	0
0RB---_0LC1RB_1LD0RB_1RB0LD	1RB0LC_1LC0RB_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD0RB_1RC1LC	1RB0LC_1LA1RA_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD0RB_1RC1LD	1RB0LC_1LA1RB_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1LC_0RB---	1RB1RA_0LC---_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1LC_0RD1RB	1RB1RA_0LB1LC_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1LC_1RD0RB	1RB1RA_1LB0LC_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1LD_1RB0LD	1RB1RB_1LC0RB_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1LD_1RB1LD	1RB1RB_1LC1RB_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1LD1RC_0RB1LD	1RB1LA_0LC1RB_0RA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1RB0LD_1LC1LD	1RB0LC_0LA1RB_1LA1LC	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LC_------	1RB1LA_0LA1RB	none		B	reroot	2	1
0RB---_0LC1RB_1RB1LD_0RD1LC	1RB1LC_0LA1RB_0RC1LA	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LD_1LC0RB	1RB1LC_0LA1RB_1LA0RB	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LD_1RB0LD	1RB1LC_0LA1RB_1RB0LC	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LD_1RB1LC	1RB1LC_0LA1RB_1RB1LA	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LD_1RB1LD	1RB1LC_0LA1RB_1RB1LC	none		B	reroot	3	1
0RB---_0LC1RB_1RB1LD_1RC0LD	1RB1LC_0LA1RB_1RA0LC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LB1LB	1RB1LA_0LC1LC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LB1RB	1RB1LA_0LC1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LB1RD	1RB1LA_0LC1RB_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LC1LB	1RB1LA_0LA1LC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LC1RB	1RB1LA_0LA1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_0LD1RB	1RB1LA_0LB1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1LB1LD	1RB1LA_1LC1LB_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1LB1RB	1RB1LA_1LC1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1LC0RB	1RB1LA_1LA0RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1LD1RB	1RB1LA_1LB1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1RB0RB	1RB1LA_1RC0RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LC_1RB1RB	1RB1LA_1RC1RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LD_1LB1LC	1RB1LB_1LC1LA_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LD_1LC0RB	1RB1LB_1LA0RC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LD_1RB0LD	1RB1LB_1RC0LB_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RB_1RD1LD_1RB1LD	1RB1LB_1RC1LB_0LA1RC	none		B	reroot	3	1
0RB---_0LC1RC_0LD1LD_1RB1LB	1RB1LB_0LC1RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0LC_0RB1LC	1RB0RA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0LC_1RB0LD	1RB0RA_1LC0RB_0RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RB_1RB0LD	1RB0LC_1LC0RB_0RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RB_1RB1LD	1RB0LC_1LC1RB_0RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RC_0RB1LC	1RB0LA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RC_0RB1LD	1RB0LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RC_1RB0LC	1RB0LA_1LC0RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RC_1RB1LB	1RB0LA_1LC1RC_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RC_1RB1LD	1RB0LA_1LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD0RD_1RB1LD	1RB0LB_1LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD1LD_1RB0LD	1RB1RB_1LC0RB_0RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD1RB_1RB1LD	1RB1LC_1LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD1RC_0RB1LD	1RB1LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1RC_1LD1RD_1RB0LD	1RB1LB_1LC0RB_0RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1RB0LD_1LC0RC	1RB0LC_0LA1RA_1LA0RA	none		B	reroot	3	1
0RB---_0LC1RC_1RB0LD_1RC1LC	1RB0LC_0LA1RA_1RA1LA	none		B	reroot	3	1
0RB---_0LC1RC_1RB1LD_1RB0LD	1RB1LC_0LA1RA_1RB0LC	none		B	reroot	3	1
0RB---_0LC1RC_1RB1LD_1RB0RD	1RB1LC_0LA1RA_1RB0RC	none		B	reroot	3	1
0RB---_0LC1RC_1RB1LD_1RC0LD	1RB1LC_0LA1RA_1RA0LC	none		B	reroot	3	1
0RB---_0LC1RC_1RD0RD_1LB0RB	1RB0RB_1LC0RC_0LA1RA	none		B	reroot	3	1
0RB---_0LC1RC_1RD0RD_1LB0RC	1RB0RB_1LC0RA_0LA1RA	none		B	reroot	3	1
0RB---_0LC1RC_1RD1LD_1RB0LD	1RB1LB_1RC0LB_0LA1RA	none		B	reroot	3	1
0RB---_0LC1RD_0LD1LD_1RB0LD	1RB0LA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RD_0LD1LD_1RB0RD	1RB0RA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RD_0RD1LB_1RB0RB	1RB0RB_0LC1RA_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_0RD1LB_1RB0RD	1RB0RA_0LC1RA_0RA1LB	none		B	reroot	3	1
0RB---_0LC1RD_0RD1LD_1RB0LD	1RB0LA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RD_0RD1LD_1RB0RD	1RB0RA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1RD_1LA1LB_1RB0RD	1RB1RC_0LC---_0RA1LD_1LC0LD	none		B	reroot	4	0
0RB---_0LC1RD_1LA1LD_1RB0LD	1RB1RD_0LC---_0RA1LD_1LC0RD	none		B	reroot	4	0
