# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB0LA_1RC0RD_1LA1LC_1RC1RD	DN	99999979
0RB0LA_1RC0RD_1RD1RB_1LA1LB	DN	99999980
0RB0LA_1RC1LA_0RD0RD_1LD1LB	DN	99999985
0RB0LA_1RC1LA_0RD1RD_1LD1RB	DN	99999980
0RB0LA_1RC1LA_1LA0RD_1LD1LB	DN	99999960
0RB0LA_1RC1LA_1LC0RD_1LD1LB	DN	99999960
0RB0LA_1RC1LA_1LD0LA_1LB1RD	DN	99999987
0RB0LA_1RC1LA_1LD1LD_1LB1RD	DN	99999982
0RB0LA_1RC1LA_1LD1RB_0RC0LD	DN	99983300
0RB0LA_1RC1LA_1LD1RB_1LB1RD	DN	99999978
0RB0LA_1RC1LA_1LD1RD_1LB1RD	DN	99999986
0RB0LA_1RC1LA_1RD---_1LD1RB	DN	99999980
0RB0LA_1RC1LA_1RD0LA_1LB1RB	DN	99999982
0RB0LA_1RC1LA_1RD0LA_1LB1RC	DN	99999981
0RB0LA_1RC1LA_1RD0LA_1LB1RD	DN	99999990
0RB0LA_1RC1LA_1RD0LD_0LB1RB	DN	99999988
0RB0LA_1RC1LA_1RD0RD_0LB0RD	DN	99999977
0RB0LA_1RC1LA_1RD0RD_0LB1RB	DN	99999988
0RB0LA_1RC1LA_1RD0RD_0LB1RC	DN	99999976
0RB0LA_1RC1LA_1RD0RD_1LB0LB	DN	99999988
0RB0LA_1RC1LA_1RD1LD_1LB1RD	DN	99999986
0RB0LA_1RC1LA_1RD1RB_0LB---	DN	99999990
0RB0LA_1RC1LA_1RD1RB_1LB1RB	DN	99999987
0RB0LA_1RC1LA_1RD1RB_1LB1RC	DN	99999990
0RB0LA_1RC1LA_1RD1RB_1LB1RD	DN	99999982
0RB0LA_1RC1LA_1RD1RC_0LB0RD	DN	99999988
0RB0LA_1RC1LA_1RD1RC_0LB1LB	DN	99999986
0RB0LA_1RC1LA_1RD1RC_0LB1RB	DN	99999989
0RB0LA_1RC1LA_1RD1RC_0LB1RC	DN	99999987
0RB0LA_1RC1LA_1RD1RC_1LA1LB	DN	99999991
0RB0LA_1RC1LA_1RD1RC_1LB---	DN	99999990
0RB0LA_1RC1LA_1RD1RD_1LB1RB	DN	99999988
0RB0LA_1RC1LA_1RD1RD_1LB1RD	DN	99999984
0RB0LA_1RC1LB_0RD1RD_1LA1RB	DN	99999980
0RB0LA_1RC1LB_1LA0RD_0LB1RD	DN	99999980
0RB0LA_1RC1LB_1LA1RD_0LB0RC	QH	3
0RB0LA_1RC1LB_1RD1RB_1LA0RD	DN	99999989
0RB0LA_1RC1LC_0LC1RD_1LA0RD	DN	99999981
0RB0LA_1RC1LC_1LA0RD_0RC0LC	DN	99999983
