machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LA_1RC1RB_0LC1LD_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_0LC1LD_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_0LD0RD_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_0LD1LC_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_0LD1LC_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_0RD1RB_1LD0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LA0LD_0RC1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LA0RD_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LA0RD_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LC1LD_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LC1LD_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LC1LD_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1LD0RA_1LA0LC,irules,199758,168,1,1,6,1,F,0
0RB0LA_1RC1RB_1LD0RA_1LA1LC,irules,67480,242,3,2,5,3,F,0
0RB0LA_1RC1RB_1RD0LB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1RD1LB_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1RD1LB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1RD1LD_1LC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1RD1LD_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RB_1RD1RB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RC_0RD1RB_1LD0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RC_1LD1RD_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RC_1RD1RB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1RD_1LA1LC_1RA1RB,irules,199809,148,1,1,6,1,F,0
0RB0LA_1RC1RD_1LA1LC_1RB0RB,irules,197835,46,1,1,7,10,F,0
