# spec	subclass	growth_exp_1e6_1e8	live_density_1e8	quiet_pins_1e8	qc_result
0RB0LC_1LC1RB_1RD1LA_1RC1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RC1LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RC1LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_1RC1LD	counter_new	0.073	sparse	D1@4	boarded
0RB0LC_1LC1RB_1RD1LA_1RC1RB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RC_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_1LC1RD_0RB0LA_1LA1RB	counter_boxfail	0.068	dense	A0@0	-
0RB0LC_1LC1RD_0RB0LA_1RB---	counter_new	0.062	dense	A0@0	boarded
0RB0LC_1LC1RD_0RB1LA_1RB0LA	counter_boxfail	0.073	dense	A0@0	-
0RB0LC_1LC1RD_0RB1LC_1LA1RD	sweep_counter	0.332	dense	A0@0	-
0RB0LC_1LC1RD_0RD1LA_1LC1RD	counter_new	0.070	sparse	B0@1	boarded
0RB0LC_1LC1RD_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_1RC0LA_1LD1RB_0RC0LD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0LC_1RC0LC_0RD1LA_1LC1RD	counter_new	0.069	sparse	B0@1	boarded
0RB0LC_1RC0RD_1LA1LC_1RC1RB	counter_boxfail	0.075	dense	B0@1	-
0RB0LC_1RC1LA_1LD1RB_0RC0LD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0LC_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB0LC_1RC1LC_0RD1LA_1LC1RD	counter_new	0.073	dense	B0@1	boarded
0RB0LC_1RC1LC_0RD1LC_1LA1RD	sweep_counter	0.330	dense	B0@1	-
0RB0LC_1RC1LD_0RD1LA_1LC1RD	counter_new	0.062	sparse	B0@1	boarded
0RB0LC_1RC1RD_0RD1LA_1LC1RD	counter_new	0.067	sparse	B0@1	boarded
0RB0LC_1RC1RD_0RD1LC_1LA1RD	sweep_counter	0.330	dense	B0@1	-
0RB0LD_0LC0LD_1LD1RC_0RC1LA	counter_new	0.072	sparse	B0@1	boarded
0RB0LD_0LC0RC_1RD1RB_1LA1LD	counter_new	0.075	dense	B0@1	no overflow chain
0RB0LD_0LC1LC_1LD1RC_0RC1LA	counter_new	0.062	sparse	B0@1	boarded
0RB0LD_0LC1LD_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_0LC1LD_1LD1RC_0RC1LA	counter_new	0.077	dense	B0@1	boarded
0RB0LD_0LC1RC_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_0LC1RC_1LD1RC_0RC1LA	counter_new	0.070	sparse	B0@1	boarded
0RB0LD_0RC0LD_1LD1RC_0RC1LA	counter_new	0.070	sparse	B0@1	boarded
0RB0LD_0RC0RC_1RD1RB_1LA1LD	counter_boxfail	0.075	dense	B0@1	-
0RB0LD_0RC1LB_1LA1RC_1RD1LB	sweep_counter	0.332	dense	A0@3	-
0RB0LD_0RC1LC_1LD1RC_0RC1LA	counter_new	0.062	sparse	B0@1	boarded
0RB0LD_0RC1LD_1LA1RC_0RC1LD	sweep_counter	0.331	dense	B0@1	-
0RB0LD_0RC1LD_1LD1RC_0RC1LA	counter_new	0.075	dense	B0@1	boarded
0RB0LD_0RC1RC_1LA1RC_0RC1LD	sweep_counter	0.331	dense	B0@1	-
0RB0LD_0RC1RC_1LD1RC_0RC1LA	counter_new	0.069	sparse	B0@1	boarded
0RB0LD_1LA0RC_1RD1RB_1LA1LD	counter_boxfail	0.075	dense	B0@1	-
0RB0LD_1LA1LC_0LD0LC_1RD1RB	bouncer_hybrid	0.494	sparse	A0@2	-
0RB0LD_1LA1LC_0RD0LC_1RD1RB	sweep_counter	0.335	dense	A0@2	-
0RB0LD_1LA1LC_1LD1RC_0RC1LA	counter_new	0.062	sparse	B0@1	boarded
0RB0LD_1LA1LC_1RD0LC_1RD1RB	bouncer_hybrid	0.485	sparse	A0@2	-
0RB0LD_1LA1RC_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1LA1RC_1LD1RC_0RC1LA	counter_new	0.070	sparse	B0@1	boarded
0RB0LD_1LA1RC_1RB0LD_0RB1LD	counter_new	0.071	sparse	A0@2	boarded
0RB0LD_1LA1RC_1RB0LD_0RC1LD	counter_new	0.061	sparse	A0@2	boarded
0RB0LD_1LC0LD_1LA0LC_1RD1RC	bouncer_hybrid	0.516	sparse	B0@1	-
0RB0LD_1LC0LD_1LD1RC_0RC1LA	counter_new	0.072	sparse	B0@1	boarded
0RB0LD_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.060	dense	A0@0,A1@9,B1@8	-
0RB0LD_1LC0RC_1LA1RC_1RB1LD	sweep_counter	0.333	dense	A0@3	-
0RB0LD_1LC0RC_1RD1RB_1LA1LD	counter_boxfail	0.075	dense	B0@1	-
0RB0LD_1LC0RD_1LA0LC_1RD1RC	sweep_counter	0.334	dense	B0@1	-
0RB0LD_1LC1LC_1LD1RC_0RC1LA	counter_new	0.062	sparse	B0@1	boarded
0RB0LD_1LC1LD_0RC1LA_1RC0LD	counter_new	0.068	dense	B0@1	boarded
0RB0LD_1LC1LD_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1LC1LD_1LD1RC_0RC1LA	counter_new	0.077	dense	B0@1	boarded
0RB0LD_1LC1RA_1RD1LB_0LC0RD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0LD_1LC1RB_0LD1LA_1RB1LD	bouncer_hybrid	0.478	sparse	C0@2	-
0RB0LD_1LC1RB_0RA1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_0RB1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_0RC1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_0RD1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_1LA1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_1LD1LA_0RB1LD	sweep_counter	0.334	dense	A0@0	-
0RB0LD_1LC1RB_1LD1LA_1RB1LD	bouncer_hybrid	0.478	sparse	C0@2	-
0RB0LD_1LC1RB_1RA1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_1RB1LA_0RB1LD	sweep_counter	0.334	dense	A0@0	-
0RB0LD_1LC1RB_1RB1LA_1RB1LD	bouncer_hybrid	0.536	sparse	C0@2	-
0RB0LD_1LC1RB_1RC1LA_1RB1LD	bouncer_hybrid	0.478	sparse	C0@2	-
0RB0LD_1LC1RB_1RD1LA_0RB1LD	sweep_counter	0.334	dense	A0@0	-
0RB0LD_1LC1RB_1RD1LA_1RB1LD	bouncer_hybrid	0.478	sparse	C0@2	-
0RB0LD_1LC1RC_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1LC1RC_1LD1RC_0RC1LA	counter_new	0.070	sparse	B0@1	boarded
0RB0LD_1LC1RD_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1RC---_1LA1RB_0RB0LA	counter_new	0.073	dense	A0@0	boarded
0RB0LD_1RC---_1LA1RB_0RB0LD	counter_new	0.073	dense	A0@0	boarded
0RB0LD_1RC0LA_1LD1RB_0RC0LD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0LD_1RC0LD_1LA0LC_1RD1RC	bouncer_hybrid	0.516	sparse	B0@1	-
0RB0LD_1RC0LD_1LA1RB_0RB1LD	counter_new	0.061	sparse	A0@0	boarded
0RB0LD_1RC0LD_1LD1RC_0RC1LA	counter_new	0.072	sparse	B0@1	boarded
0RB0LD_1RC0RC_1LA1RC_1RB1LD	sweep_counter	0.333	dense	A0@0	-
