machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LA_1RC0RC_1LD0LD_1RB1LA,listC,unboarded,,,no-match
0RB0LA_1RC0RC_1LD1LA_1LB1RD,listC,unboarded,,,no-match
0RB0LA_1RC0RD_1RD1RB_1LA1LB,listC,unboarded,,,no-match
0RB0LA_1RC1LA_1LD1RB_0RC0LD,listC,unboarded,,,no-match
0RB0LA_1RC1LA_1RD---_1LD1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_3_3_1600,direct
0RB0LA_1RC1LA_1RD0RD_1LB0LB,listC,unboarded,,,no-match
0RB0LA_1RC1LA_1RD1RB_0LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1RC1LA_1RD1RC_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1RC1LB_0RD1RD_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1RC1LB_1LA0RD_0LB1RD,listC,unboarded,,,no-match
0RB0LA_1RC1LB_1LA1RD_0LB0RC,listC,unboarded,,,no-match
0RB0LA_1RC1LB_1RD1RB_1LA0RD,listC,unboarded,,,no-match
0RB0LA_1RC1LC_0LC1RD_1LA0RD,listC,fuel,,,no-match
0RB0LA_1RC1LC_1LA0RD_0RC0LC,listC,drift,,,no-match
0RB0LA_1RC1LC_1LA1LD_0RC1RD,listC,unboarded,,,no-match
0RB0LA_1RC1LD_0RD0LD_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1RC1LD_0RD1RC_1LA---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1RC1LD_0RD1RD_1LA1RB,listC,unboarded,,,no-match
0RB0LA_1RC1LD_1LA0RC_0LD0LA,listC,fuel,,,no-match
0RB0LA_1RC1LD_1LA0RC_0LD1RC,listC,fuel,,,no-match
0RB0LA_1RC1LD_1LA0RC_1RD1RB,listC,unboarded,,,no-match
0RB0LA_1RC1RB_0LD0RC_1LD1LA,listC,fuel,,,no-match
