machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LC_1LA1RB_1RD0LC_0RD1LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LA1RB_1RD0LC_1RD1LA,irules,199811,446,1,1,1,0,T,5
0RB0LC_1LA1RB_1RD0LC_1RD1LC,irules,199811,446,1,1,1,0,T,6
0RB0LC_1LA1RC_1RB0LD_0RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC---_0LD0LC_1RD1LA,irules,199713,631,1,2,1,0,T,2
0RB0LC_1LC---_1RD0LC_1RD1LA,irules,199810,446,1,1,1,0,T,2
0RB0LC_1LC0LA_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC0LA_1RD0LC_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC0LA_1RD1RB_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC0LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC0RC_1RD1LB_1LA0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1LA_0RD0LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1LB_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1LC_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1LC_1RD0LC_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1LD_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_0RA---,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_0RD1RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RA0RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RA0RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RA0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RA1RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RC0RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RC1RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RD0RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0LD1LA_1RD1RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RB1LD_0RA0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD0LA_1RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD0LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_0LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_0LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_0LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_0LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_0LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA0LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LA1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LC1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB0LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB0RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_0RD1LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RB---,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RC---,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RD0RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RD1RA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_0RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_1RD0RB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1LD1LA_1RD0RC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB0LA,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB0LB,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LC_1LC1RB_1RD1LA_0LB0RC,undecided,0,0,0,0,0,0,?,0
